folder,file,isCopy,title,size,printer,version,lastBy,forms,bytes
SHABUYA,SHB_RIB EYE BLOCK-G,false,SHB_RIB EYE BLOCK-G,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R7,DELL,1,221015
SHABUYA,SHB_RIB EYE BLOCK,false,SHB_RIB EYE BLOCK-G,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,798955
SHABUYA,SHB_WAGYU KNUCKLE,false,SHB_WAGYU KNUCKLE,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,794143
SLICING,2PTS BF_BNLS BEEF CLOD FIO-2MM_20#,false,2PTS BF_BNLS BEEF CLOD FIO-2MM_20#,"4"" x 6""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,352592
SLICING,ANT_BNLS_PK BELLY SLICE,false,Document1,"4"" x 6""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,336323
SLICING,ANT_BNLS_PK BELLY_TRAY PK,false,Document1,"4"" x 6""",ZDesigner ZD421-203dpi ZPL,2022 R7,DELL,1,359911
SLICING,ANT_BNLS_PK CT_SLICED,false,ANT_BNLS_PK CT_SLICED,"4"" x 6""",ZDesigner ZD421-203dpi ZPL,2022 R7,DELL,1,370166
SLICING,ANT_BNLS_PK_BUTT_SLICED,false,Document1,"4"" x 6""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,368525
SLICING,ANT_RE 3.5MM,false,ANT_RE 3.5MM,"4"" x 6""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,349546
SLICING,ANT_RIB EYE SLICE_3MM_20#,false,ANT_RIB EYE SLICE_3MM_20#,"4"" x 6""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,440671
SLICING,ANT_SHOULDER CLOD FIO SLICED 1.5MM,false,ANT_SHOULDER CLOD FIO SLICED 1.5MM,"4"" x 6""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,366389
SLICING,BEEF CHUCK ROLL SLICE WAGYU 2.5MM,false,ANT_CLOD FIO SLICED,"4"" x 6""",ZDesigner ZD421-203dpi ZPL,2022 R7,DELL,1,191958
SLICING,BNLS BEEF SHORT PLATE SLICE 1.5MM,false,ANT_CLOD FIO SLICED,"4"" x 6""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,165143
SLICING,OOK-OOK_PR CHUCK ROLL SLICE-1.5mm.-40#,false,PR CHUCK ROLL SLICE.-40#,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R7,DELL,1,321851
SLICING,PK BELLY  SLICE 3MM_30#,false,PK BELLY  SLICE 3MM_30#,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,286437
SLICING,PK BUTT  SLICE 3MM_20#,false,PK BUTT  SLICE 3MM_30#,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,259414
SLICING,PK BUTT  SLICE 3MM_30#,false,PK BUTT  SLICE 3MM_30#,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,129938
SLICING,PK COLLAR BUTT CT_2.5MM_50#,false,PK COLLAR BUTT CT_2.5MM_50#,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,113099
SLICING,PK COLLAR CT_ SLICE -3MM_TRAY PACK20#,false,PK COLLAR SLICE -3MM_40#,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R7,DELL,1,962965
SLICING,PORK BELLY SHABU SHABU.SAFE,false,PORK BELLY SHABU SHABU.SAFE,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R7,DELL,1,129272
SLICING,SKIN-ON PK BELLY 1.2 INCH CUT,false,Document1,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,357190
(root),WAGYU SHANK MEAT,false,Document1,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,284316
WTR,BOTTOM SR #3,false,BOTTOM SR #3,"4"" x 6""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,712172
WTR/Old Labels,WTR.XX MARINATED.SR.3#,false,WTR.MARINATED CLOD.1#,"6"" x 4""",KONICA MINOLTA 1st FL,2022 R7,Tony Suh,1,423064
WTR/SLICING,2PTS BF_BNLS BEEF CLOD FIO-2MM_20#,false,2PTS BF_BNLS BEEF CLOD FIO-2MM_20#,"4"" x 6""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,352592
WTR/SLICING,ANT_BNLS_PK BELLY SLICE,false,Document1,"4"" x 6""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,336323
WTR/SLICING,ANT_BNLS_PK BELLY_TRAY PK,false,Document1,"4"" x 6""",ZDesigner ZD421-203dpi ZPL,2022 R7,DELL,1,359911
WTR/SLICING,ANT_BNLS_PK CT_SLICED,false,ANT_BNLS_PK CT_SLICED,"4"" x 6""",ZDesigner ZD421-203dpi ZPL,2022 R7,DELL,1,370166
WTR/SLICING,ANT_BNLS_PK_BUTT_SLICED,false,Document1,"4"" x 6""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,368525
WTR/SLICING,ANT_RE 3.5MM,false,ANT_RE 3.5MM,"4"" x 6""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,349546
WTR/SLICING,ANT_RIB EYE SLICE_3MM_20#,false,ANT_RIB EYE SLICE_3MM_20#,"4"" x 6""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,440671
WTR/SLICING,ANT_SHOULDER CLOD FIO SLICED 1.5MM,false,ANT_SHOULDER CLOD FIO SLICED 1.5MM,"4"" x 6""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,366389
WTR/SLICING,BEEF CHUCK ROLL SLICE WAGYU 2.5MM,false,ANT_CLOD FIO SLICED,"4"" x 6""",ZDesigner ZD421-203dpi ZPL,2022 R7,DELL,1,191958
WTR/SLICING,BNLS BEEF SHORT PLATE SLICE 1.5MM,false,ANT_CLOD FIO SLICED,"4"" x 6""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,165143
WTR/SLICING,OOK-OOK_PR CHUCK ROLL SLICE-1.5mm.-40#,false,PR CHUCK ROLL SLICE.-40#,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R7,DELL,1,321851
WTR/SLICING,PK BELLY  SLICE 3MM_30#,false,PK BELLY  SLICE 3MM_30#,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,252756
WTR/SLICING,PK BUTT  SLICE 3MM_20#,false,PK BUTT  SLICE 3MM_30#,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,259414
WTR/SLICING,PK BUTT  SLICE 3MM_30#,false,PK BUTT  SLICE 3MM_30#,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,129938
WTR/SLICING,PK COLLAR BUTT CT_2.5MM_50#,false,PK COLLAR BUTT CT_2.5MM_50#,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,113099
WTR/SLICING,PK COLLAR CT_ SLICE -3MM_TRAY PACK20#,false,PK COLLAR SLICE -3MM_40#,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R7,DELL,1,962965
WTR/SLICING,PORK BELLY SHABU SHABU.SAFE,false,PORK BELLY SHABU SHABU.SAFE,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R7,DELL,1,129272
WTR/SLICING,SKIN-ON PK BELLY 1.2 INCH CUT,false,Document1,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,357190
WTR,WTR. BNLS BF SR 0.5#.,false,Document1,"6"" x 4""",NOBLESSE_PRINTER_1,2022 R5,Hanah Yu,1,530208
WTR,WTR. BNLS BF SR 20#.OUTER,false,Document1,"6"" x 4""",Zebra ZD421 (203 dpi) - ZPL,2022 R7,DELL,1,559910
